Marca;Modelo;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Chevrolet;Astra;7.000.000;9.000.000;12.000.000;13.500.000;;;;;;;;;;;;;;;
Chevrolet;Agile ;;7.000.000;7.800.000- 8.9000.000;8.900.000 – 10.740.000;9.700.000 – 11.500.000;9.400.000 – 10.680.000;           ;12.760.000;11.220.000 – 11.490.000;;;;;;;;;;
Chevrolet;Aveo G3;$7.500.000 – $8.500.000;;;;;$10.000.000 – $11.000.000;$10.200.000 – $11.200.000;;;$9.000.000 – $10.000.000;;;;;;;;;
Chevrolet;Celta;$7.000.000 -- $10.000.000;$6.000.000 -- $12.000.000;$7000000 -- $12.000.000;$8.500.000 ? $12.000.000;8.900.000 ? $9.500.000;$9.000.000 ? $13.000.000;$6.000.000 -- $9.000.000;$9.000.000 -- $13.000.000;;;;;;;;;;;
Chevrolet;Classic;$4.000.000 – $8.500.000;$6.500.000 -- $9.500.000;$5.500.000 -- $8.500.000;$6.500.000 – $9.080.000;$6.000.000 -- $12.000.000;$7.000.000 – $10.000.000;$6.000.000 -- $12.000.000;$7.000.000 -- 13.000.000;$8.000.000 – $11.000.000;;;;;;;;;;
Chevrolet;Corsa Classic;5.400.000 – $9.300.000;$6.000.000 – $10.400.000;$7.000.000 – $12.000.000;$6.500.000 – $9.200.000;$6.000.000 -- $12.000.000;;;;;;;;;;;;;;
Chevrolet;Cruze;;;$13.000.000 – $18.000.000;$10.000.000 -- $14.000.000;$10.000.000 -- $22.000.000;$13.000.000 -- $18.000.000 ;$11.000.000 -- $17.000.000;$9.000.000 -- $17.000.000;$10.500.000 -- $19.000.000 ;$14.500.000 -- $20.000.000;$12.400.000 -- $24.000.000;$18.500.000  $25.000.000;$14.700.000 -- $27.000.000;$22.000.000 -- 32.000.000;$21.000.000 -- $33.000.000;$26.000.000 -- $38.000.000;;;
Chevrolet;joy;;;;;;;;;;$11.000.000 – $14.700.000;$12.500.000 – $15.600.000;$12.000.000 – $17.800.000;$11.000.000 -- $18.000.000;$15.500.000 -- $18.500.000;$10.000.000 -- $15.000.000;$21.000.000 – $22.800.000;;;
Chevrolet;Meriva;$5.500.000 -- $9.900.000;$7.000.000 -- $10.000.000;$6.500.000 -- $14.000.000;$7.300.000 -- $11.900.000;$6.600.000 -- $8.000.000;;;;;;;;;;;;;;
Chevrolet;Montana;$11.000.000 -- $14.500.000;;$5.000.000 -- $15.00.000;$11.000.000 -- $15.000.000;$5.400.000-- $15.500.000;$8.000.000  $15.500.000;;$12.000.000 -- $15.400.000;$12.500.000 -- $17.000.000;$14.000.000 -- $17.000.000;$12.000.000 -- $18.500.000;$16.000.000 -- $32.000.000;$12.000.000 -- 35.000.000;;;;;;$40.000.000
Chevrolet;Onix;;;;;;;$10.900.000 – $13.800.000;$13.000.000;$14.200.000 – $15.700.000;$13.000.000 – $14.500.000;$15.000.000 – $18.400.000;$16.500.000 – $18.500.000;$19.000.000 – $22.000.000;$17.000.000 -- $22.000.000; $19.000.000 -- $22.000.000;;$25.000.000;;$25.000.000 – $30.000.000
Chevrolet;Prisma;$8.000.000 -- $10.000.000;;;$8.000.000 -- $11.000.000;;$9.000.000 -- $13.500.000;$10.000.000 -- $14.000.000;$11.000.000 -- $15.500.000;$10.500.000 -- $15.500.000;$12.000.000 -- $17.500.000;$12.300.000 -- $15.500.000;$13.500.000 -- $17.900.000;$13.900.000 -- $20.800.000;;;;;;
Chevrolet;Spin;;;;;$9.000.000 – $11.000.000;;$10.000.000 – $13.000.000;$11.000.000 – $13.000.000;$11.500.000 y $17.500.000;$9.500.000 -- $18.600.000;$15.000.000 -- $19.000.000;$18.000.000 – $20.000.000;$18.500.000 -- $27.900.000;;;$28.000.000;;;$35.000.000
Chevrolet;Tracker;;;;;;$8.000.000 – $10.000.000;;$15.000.000 – $17.000.000;$15.000.000 – $19.000.000;$18.000.000 – $20.000.000;$16.000.000 – $20.000.000;$20.000.000 – $23.000.000;$24.000.000 – $26.000.000;$22.000.000 – $26.000.000;;$27.000.000 -- $33.000.000;;$33.600.000 -- $49.000.000;
Chevrolet;Zafira;$5.700.000 – $8.874.600;$6.000.000 – $9.000.000;$7.348.900 – $11.330.000;$7.400.000 -- $11.000.000;$8.000.000 – $12.000.000;$8.500.000 – $12.500.000;$9.000.000 – $13.000.000;$10.000.000 – $14.000.000;;;$12.000.000 – $15.000.000;;;;;;;;
Ford;Fiesta;$6.000.000 – $8.000.000;;;;;$10.500.000 – $13.600.000;$10.600.000 – $14.400.000;;;$11.900.000 – $16.100.000;;;;;;;;;
Ford;EcoSport;$8.600.00 -- $9.000.000;9.900.000;7.900.000-- 12.000.00;$9.500.000 -- 12.000.000;9.400.00;13.000.000 a $16.400.000;$14.300.000 – $16.000.000.;$15.000.000 – $17.000.000.;$15.500.000 – $17.800.000;15.000.000--17000000;$18.000.000 – $21.000.000;$19.000.000 – $23.000.000;$20.000.000 – $24.000.000;$23.000.000 – $25.000.000.;$23.000.000 – $30.000.000;$29.000.000;;;
Ford;Fiesta Kinetic Design;$6.900.000--9.000.000;;;;;$10.658.700 – $14.420.600;$10.492.900 -- $14.500.000;$12.043.900;$13.220.000 – $17.000.000;$13.430.000 – $17.120.000;$15.280.000 – $20.440.000;$16.860.000 – $18.350.000;$18.540.000;;;;;;
Ford;Focus;$7.000.000 – $8.000.000;7.400.00--11.000.000;9.500.00--11.000.000;$9.300.000 --$14.000.000;$7.600.000 -- $15.500.000;$9.700.000 --$15.000.000;13.000.000 --18.500.000;$11.000.000--19.000.000;$15.000.000 – $18.500.000;$17.000.000 – $22.500.000;$19.000.000 – $26.000.000;$18.500.00 --$25.000.000;;;;;;;
Ford;Ranger;$9.000.000 – $15.000.000;$10.300.000 -- $21.000.000;$7.500.000 --$19.500.000;$12.000.000 --$20.000.000;$12.700.000 --$30.200.000;$15.000.000-- $26.000.000;$15.000.000 -- $25.000.000;$21.000.000 --$26.000.000;$18.500.000 $32.000.000;$17.000.000 --$30.000.000;$22.000.000 --$37.500.000; $24.000.000-- $40.000.000 ;$22.000.000 --$40.000.000;$25.000.000 -- $48.000.000 ;$30.000.000 --$44.000.000;$35.000.000 -- $67.000.000;$30.000.000--$80.000.000;$25.000.000 -- 82.000.000;
Peugeot ;206;$6.000.000 – $7.500.000;;;;;$7.265.000 – $8.355.000;;;;;;;;;;;;;
Fiat ;500;;9.500.000;;10.000.000-13.000.000;11.000.000 – 12.000.000;11.200.000 – 15.100.000;11.000.000 – 15.000.000;12.000.000 – 15.600.000;14.000.000- 16.000.000;16.500.000- 19.900.000;20.000.000 – 25.000.000;23.000.000 – 28.260.000;;28.000.000 - 30.000.000;;;;;
Fiat ;Argo;;;;;;;;;;16.700.000- 18.000.000;15.000.000- 18.000.000;18.000.000- 20.000.000;18.000.000- 19.000.000;15.500.000;21.000.000;24.000.000;;22.000.000- 27.000.000;
Fiat ;Bravo;;;;;9.900.000- 12.000.000;10.000.000- 13.000.000;12.000.000- 14.000.000;;;;;;;;;;;;
Fiat ;Cronos;;;;;; ;;;;;15.000.000-19.000.000;17.000.000- 19.000.000;18.000.000- 20.000.000;19.000.000- 20.000.000;20.000.000- 21.000.000;21.000.000-23.000.000;25.000.000-30.000.000;26.000.000-30.000.000;
Fiat ;Fiorino;5.000.000- 8.000.000;6.000.000-8.000.000;7.800.000-10.000.000;9.000.000-11.000.000;10.000.000- 11.500.000;9.700.000- 12.000.000;11.000.000- 13.000.000;12.000.000- 14.000.000;13.000.000- 16.000.000;15.000.000- 17.000.000;14.000.000- 17.000.000;16.000.000- 18.000.000;17.800.000- 19.000.000;16.000.000- 19.000.000;19.000.000-22.000.000;19.800.000-23.000.000;20.000.000- 23.000.000;20.000.000- 25.000.000;
Fiat ;Grand Siena;;;;;9.500.000- 11.500.000;8.000.000- 13.000.000;10.900.000- 13.500.000;11.000.000- 14.000.000;11.800.000- 15.000.000;13.200.000- 15.500.000;12.000.000- 15.000.000;;;;;;;;
Fiat ;Idea;7.000.000- 10.000.000;7.500.000- 9.500.000;8.000.000- 10.500.000;9.000.000-12.000.000;10.000.000- 12.000.000;10.800.000- 14.000.000;10.800.000- 13.800.000;10.000.000- 14.000.000;12.900.000- 15.000.000;14.000.000- 15.000.000;;;;;;;;;
Fiat ;Linea;;8.000.000-9.700.000;9.000.000- 10.000.000;9.000.000-10.000.000;10.000.000-11.000.000;10.500.000- 12.000.000;10.000.000- 12.500.000;10.000.000- 13.000.000;13.000.000- 14.500.000;;;;;;;;;;
Fiat ;Mobi;;;;;;;;;;;10.000.000- 14.000.000;12.500.000- 14.000.000;14.000.000- 15.800.000;12.500.000- 16.000.000;14.000.000- 18.500.000;17.800.000- 19.800.000;16.000.000- 23.000.000;19.000.000- 25.000.000;
Fiat ;Palio ;8.000.000- 9.000.000;8.500.000- 10.000.000;8.700.000- 10.000.000;9.000.000- 11.500.000;10.000.000- 12.400.000;10.800.000- 13.000.000;12.000.000- 13.000.000;12.500.000- 14.000.000;12.000.000- 15.000.000;13.500.000- 16.000.000;13.500.000- 16.500.000;;;;;;;;
Fiat ;Punto;8.500.000-11.000.000;8.900.000- 11.000.000;9.300.000-12.000.000;8.000.000-11.000.000;10.000.000-12.500.000;10.500.000- 13.500.000;12.000.000- 15.000.000;12.500.000- 14.000.000;12.700.000- 15.000.000;13.600.000- 16.000.000;16.200.000;;;;;;;;
Fiat  ;Siena;7.000.000- 9.000.000;7.500.000- 9.500.000;7.500.00- 10.000.000;9.000.000- 11.000.000 ;9.000.000- 12.500.000;9.000.000- 11.000.000;11.000.000- 13.000.000;11.900.000- 14.000.000;12.000.000- 14.000.000;12.900.000- 14.500.000;12.000.000- 15.000.000;;;;;;;;
Renault;Logan;6.000.000,00 – 8.000.000,00;;;;;9.000.000,00 – 12.000.000,00;10.000.000,00 – 13.000.000,00;;;12.500.000,00 – 16.500.000,00;;;;;;;;28.000.000,00 – 36.000.000,00;
Renault;Clio;7.000.000,00 – 9.000.000,00;;;;;11.000.000,00 – 14.000.000,00;11.500.000,00 – 15.000.000,00;;;13.000.000,00 – 17.000.000,00;;;;;;;;;
Renault;Duster;;;;;;13.500.000,00 – 17.500.000,00;14.500.000,00 – 19.000.000,00;;;16.500.000,00 – 22.000.000,00;;;;;;;;42.000.000,00 – 58.000.000,00;
Suzuki;Fun;$7.200.000 – $9.500.000;$7.800.000 – $10.500.000;$8.200.000 – $11.200.000;$8.500.000 – $11.800.000;;;;;;;;;;;;;;;
